Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
GendreauDumasExtended,n20w140.003.txt,21,1200.0,301.0,SMA-Beam,296.0,301.0,301.0,1750.0,4050,20,0,0.0,1,7.32,7320.0,-76.09289617486338
GendreauDumasExtended,n20w140.004.txt,21,1200.0,318.0,SMA-Beam,315.0,318.0,318.0,80.0,121,0,0,0.0,1,5.07,5070.0,-98.42209072978304
GendreauDumasExtended,n20w140.005.txt,21,1200.0,275.0,SMA-Beam,273.0,275.0,275.0,31.0,25,0,0,0.0,1,3.07,3070.0,-98.99022801302931
GendreauDumasExtended,n20w160.001.txt,21,1200.0,347.0,SMA-Beam,254.0,347.0,347.0,21.0,0,0,0,0.0,1,9.73,9730.0,-99.78417266187051
GendreauDumasExtended,n20w160.002.txt,21,1200.0,250.0,SMA-Beam,245.0,250.0,250.0,371.0,799,4,0,0.0,1,9.72,9720.0,-96.18312757201646
GendreauDumasExtended,n20w160.003.txt,21,1200.0,331.0,SMA-Beam,324.0,331.0,331.0,35.0,13,0,0,0.0,1,3.2,3200.0,-98.90625
GendreauDumasExtended,n20w160.004.txt,21,1200.0,287.0,SMA-Beam,274.0,287.0,287.0,40.0,40,0,0,0.0,1,4.51,4510.0,-99.1130820399113
GendreauDumasExtended,n20w160.005.txt,21,1200.0,342.0,SMA-Beam,336.0,342.0,342.0,22.0,4,0,0,0.0,1,8.68,8680.0,-99.74654377880185
GendreauDumasExtended,n20w180.001.txt,21,1200.0,353.0,SMA-Beam,346.0,353.0,353.0,38.0,35,0,0,0.0,1,5.81,5810.0,-99.34595524956971
GendreauDumasExtended,n20w180.002.txt,21,1200.0,347.0,SMA-Beam,342.0,347.0,347.0,184.0,348,1,0,0.0,1,5.66,5660.0,-96.74911660777386
GendreauDumasExtended,n20w180.003.txt,21,1200.0,315.0,SMA-Beam,320.0,320.0,320.0,1200001.0,3357694,16788,0,1.59,1,4.43,4430.0,26988.058690744918
GendreauDumasExtended,n20w180.004.txt,21,1200.0,284.0,SMA-Beam,286.0,288.0,288.0,1200001.0,3300488,16502,0,1.41,1,16.48,16480.0,7181.559466019418
GendreauDumasExtended,n20w180.005.txt,21,1200.0,257.0,SMA-Beam,250.0,257.0,257.0,63.0,81,0,0,0.0,1,7.35,7350.0,-99.14285714285714
GendreauDumasExtended,n20w200.001.txt,21,1200.0,259.0,SMA-Beam,254.0,259.0,259.0,76.0,116,0,0,0.0,1,8.05,8050.000000000001,-99.05590062111801
GendreauDumasExtended,n20w200.002.txt,21,1200.0,242.0,SMA-Beam,222.0,242.0,242.0,2386.0,5599,28,1,0.0,1,10.46,10460.0,-77.18929254302104
GendreauDumasExtended,n20w200.003.txt,21,1200.0,305.0,SMA-Beam,278.0,305.0,305.0,20.0,0,0,0,0.0,1,4.56,4560.0,-99.56140350877193
GendreauDumasExtended,n20w200.004.txt,21,1200.0,326.0,SMA-Beam,360.0,361.0,361.0,1200002.0,3325735,16628,0,10.74,1,14.22,14220.0,8338.832630098454
GendreauDumasExtended,n20w200.005.txt,21,1200.0,277.0,SMA-Beam,261.0,277.0,277.0,11.0,0,0,0,0.0,1,6.64,6640.0,-99.8343373493976
GendreauDumasExtended,n40w120.001.txt,41,1200.0,470.0,SMA-Beam,468.0,470.0,470.0,47996.0,54599,54,0,0.0,1,24.57,24570.0,95.34391534391534
GendreauDumasExtended,n40w120.002.txt,41,1200.0,557.0,SMA-Beam,552.0,557.0,557.0,832.0,799,0,0,0.0,1,16.01,16010.000000000002,-94.80324797001873
GendreauDumasExtended,n40w120.003.txt,41,1200.0,464.0,SMA-Beam,464.0,464.0,464.0,31866.0,36769,36,0,0.0,1,13.26,13260.0,140.31674208144796
GendreauDumasExtended,n40w120.004.txt,41,1200.0,392.0,SMA-Beam,392.0,392.0,392.0,917.0,999,1,0,0.0,1,30.9,30900.0,-97.03236245954693
GendreauDumasExtended,n40w120.005.txt,41,1200.0,470.0,SMA-Beam,415.0,470.0,470.0,222.0,199,0,0,0.0,1,16.39,16390.0,-98.64551555826723
GendreauDumasExtended,n40w140.001.txt,41,1200.0,460.0,SMA-Beam,405.0,460.0,460.0,202.0,199,0,0,0.0,1,53.39,53390.0,-99.62165199475557
GendreauDumasExtended,n40w140.002.txt,41,1200.0,459.0,SMA-Beam,420.0,459.0,459.0,18.0,0,0,0,0.0,1,20.75,20750.0,-99.9132530120482
GendreauDumasExtended,n40w140.003.txt,41,1200.0,476.0,SMA-Beam,473.0,476.0,476.0,61145.0,68599,68,0,0.0,1,11.08,11080.0,451.8501805054152
GendreauDumasExtended,n40w140.004.txt,41,1200.0,458.0,SMA-Beam,457.0,458.0,458.0,4088.0,4599,4,0,0.0,1,41.3,41300.0,-90.10169491525424
GendreauDumasExtended,n40w140.005.txt,41,1200.0,438.0,SMA-Beam,437.0,438.0,438.0,579.0,599,0,0,0.0,1,35.9,35900.0,-98.38718662952645
GendreauDumasExtended,n40w160.001.txt,41,1200.0,470.0,SMA-Beam,383.0,470.0,470.0,16.0,0,0,0,0.0,1,61.27,61270.0,-99.97388607801534
GendreauDumasExtended,n40w160.002.txt,41,1200.0,451.0,SMA-Beam,450.0,451.0,451.0,1065144.0,1282857,1282,0,0.0,1,50.2,50200.0,2021.800796812749
GendreauDumasExtended,n40w160.003.txt,41,1200.0,415.0,SMA-Beam,379.0,415.0,415.0,23.0,0,0,0,0.0,1,36.75,36750.0,-99.93741496598639
GendreauDumasExtended,n40w160.004.txt,41,1200.0,425.0,SMA-Beam,376.0,425.0,425.0,123625.0,138901,138,0,0.0,1,19.69,19690.0,527.8567800914169
GendreauDumasExtended,n40w160.005.txt,41,1200.0,373.0,SMA-Beam,352.0,373.0,373.0,396.0,399,0,0,0.0,1,36.81,36810.0,-98.92420537897311
GendreauDumasExtended,n40w180.001.txt,41,1200.0,444.0,SMA-Beam,442.0,453.0,453.0,1200004.0,1429903,1429,0,2.03,1,99.12,99120.0,1110.6577885391446
GendreauDumasExtended,n40w180.002.txt,41,1200.0,448.0,SMA-Beam,388.0,448.0,448.0,34.0,0,0,0,0.0,1,83.3,83300.0,-99.95918367346938
GendreauDumasExtended,n40w180.003.txt,41,1200.0,398.0,SMA-Beam,352.0,398.0,398.0,215.0,199,0,0,0.0,1,26.74,26740.0,-99.19596110695588
GendreauDumasExtended,n40w180.004.txt,41,1200.0,409.0,SMA-Beam,407.0,409.0,409.0,30328.0,34122,34,0,0.0,1,22.53,22530.0,34.611628939192194
GendreauDumasExtended,n40w180.005.txt,41,1200.0,438.0,SMA-Beam,428.0,438.0,438.0,871384.0,1056000,1056,0,0.0,1,89.39,89390.0,874.811500167804
GendreauDumasExtended,n40w200.001.txt,41,1200.0,416.0,SMA-Beam,403.0,416.0,416.0,1252.0,1399,1,0,0.0,1,32.94,32940.0,-96.19914996964177
